Planet Name,Year of Discovery,Distance LY,ra,dec,st_dist
Kepler-18 d,2011,1430.226676,298.079439,44.746321,438.51
Kepler-19 b,2011,717.380122,290.420839,37.851786,219.95
Kepler-19 c,2011,717.380122,290.420839,37.851786,219.95
Kepler-20 b,2011,929.1532128,287.698004,42.338726,284.88
Kepler-20 c,2011,929.1532128,287.698004,42.338726,284.88
Kepler-20 d,2011,929.1532128,287.698004,42.338726,284.88
Kepler-20 e,2011,929.1532128,287.698004,42.338726,284.88
Kepler-20 f,2011,929.1532128,287.698004,42.338726,284.88
Kepler-22 b,2011,619.6964,289.217484,47.884464,190
Kepler-23 b,2011,2793.00429,294.218924,49.479225,856.34
Kepler-23 c,2011,2793.00429,294.218924,49.479225,856.34
Kepler-24 b,2011,3900.793144,290.413267,38.343754,1195.99
Kepler-24 c,2011,3900.793144,290.413267,38.343754,1195.99
Kepler-25 b,2011,798.9517376,286.638393,39.487894,244.96
Kepler-25 c,2011,798.9517376,286.638393,39.487894,244.96
Kepler-26 b,2011,1104.201138,284.940997,46.56654,338.55
Kepler-26 c,2011,1104.201138,284.940997,46.56654,338.55
Kepler-27 b,2011,3506.503156,292.236769,41.085876,1075.1
Kepler-27 c,2011,3506.503156,292.236769,41.085876,1075.1
Kepler-28 b,2011,1447.871715,292.137029,42.42942,443.92
Kepler-28 c,2011,1447.871715,292.137029,42.42942,443.92
Kepler-29 b,2011,2778.522964,298.348324,47.491226,851.9
Kepler-29 c,2011,2778.522964,298.348324,47.491226,851.9
Kepler-31 b,2011,5699.837025,294.023014,45.853081,1747.58
Kepler-31 c,2011,5699.837025,294.023014,45.853081,1747.58
Kepler-32 b,2011,1066.040886,297.842398,46.574281,326.85
Kepler-32 c,2011,1066.040886,297.842398,46.574281,326.85
Kepler-33 b,2011,4086.21283,289.077548,46.005222,1252.84
Kepler-33 c,2011,4086.21283,289.077548,46.005222,1252.84
Kepler-33 d,2011,4086.21283,289.077548,46.005222,1252.84
Kepler-33 e,2011,4086.21283,289.077548,46.005222,1252.84
Kepler-33 f,2011,4086.21283,289.077548,46.005222,1252.84
Kepler-34 b,2011,4889.07844,296.435821,44.64156,1499
Kepler-35 b,2011,5365.2662,294.496978,46.689762,1645
Kepler-39 b,2011,3556.535486,296.960265,46.034298,1090.44
Kepler-41 b,2011,3679.398452,294.513229,45.981644,1128.11
Kepler-42 b,2011,126.222372,292.219033,44.61916,38.7
Kepler-42 c,2011,126.222372,292.219033,44.61916,38.7
Kepler-42 d,2011,126.222372,292.219033,44.61916,38.7
Kepler-43 b,2011,3378.650004,285.240856,46.668255,1035.9
Kepler-44 b,2011,4008.946474,300.102352,45.762142,1229.15
Kepler-45 b,2011,1086.09948,292.8729,41.064261,333
MOA-2009-BLG-266L b,2011,9915.1424,267.008125,-35.005411,3040
NY Vir b,2011,1800.348504,204.700622,-2.030315,551.99
PSR J1719-1438 b,2011,3913.872,259.791971,-14.6336,1200
Qatar-2 b,2011,594.6476192,207.655866,-6.804028,182.32
TrES-5 b,2011,1187.533996,305.221841,59.448788,364.1
UZ For b,2011,781.469776,53.869338,-25.739395,239.6
UZ For c,2011,781.469776,53.869338,-25.739395,239.6
WASP-35 b,2011,663.3686884,76.081782,-6.229821,203.39
WASP-36 b,2011,1274.095798,131.580405,-8.026946,390.64
WASP-39 b,2011,750.1588,217.326702,-3.444534,230
WASP-43 b,2011,260.9248,154.908372,-9.806276,80
WASP-44 b,2011,1201.265164,3.903165,-11.938115,368.31
WASP-45 b,2011,693.0162688,5.237497,-35.99826,212.48
WASP-46 b,2011,1237.305402,318.736981,-55.87178,379.36
WASP-48 b,2011,1500.774218,291.16233,55.47316,460.14
WASP-50 b,2011,606.0630792,43.688073,-10.89808,185.82
WD 0806-661 b,2011,62.621952,121.723902,-66.30465,19.2
75 Cet b,2012,271.198714,38.039253,-1.034896,83.15
BD+20 274 b,2012,4513.509806,25.920324,21.005314,1383.85
CoRoT-21 b,2012,4562.367975,101.05245,-0.29913,1398.83
GJ 3470 b,2012,96.052942,119.774349,15.391492,29.45
GJ 676 A d,2012,52.2828068,262.546692,-51.636978,16.03
GJ 676 A e,2012,52.2828068,262.546692,-51.636978,16.03
HAT-P-38 b,2012,812.12844,35.383234,32.246151,249
HAT-P-39 b,2012,2093.92152,113.758247,17.830082,642
HAT-P-40 b,2012,1535.151061,335.512861,45.457378,470.68
HAT-P-41 b,2012,1146.862343,297.322651,4.672421,351.63
HAT-P-42 b,2012,1457.91732,135.344391,6.09723,447
HAT-P-43 b,2012,1767.76552,128.925737,10.206653,542
HATS-1 b,2012,988.25268,175.525336,-23.354836,303
HD 106515 A b,2012,111.2844272,183.777359,-7.257327,34.12
HD 142 c,2012,85.4854876,1.579898,-49.075191,26.21
HD 150706 b,2012,92.2695324,247.823273,79.789772,28.29
HD 159868 c,2012,182.4516664,264.748016,-43.145515,55.94
HD 166724 b,2012,147.3898964,273.498657,-42.575375,45.19
HD 196067 b,2012,130.3971688,310.433716,-75.3508,39.98
HD 197037 b,2012,107.63148,309.887329,42.24855,33
HD 207832 b,2012,192.5298868,328.151184,-26.02656,59.03
HD 207832 c,2012,192.5298868,328.151184,-26.02656,59.03
HD 208527 b,2012,1025.695389,329.099945,21.239859,314.48
HD 219077 b,2012,95.2701676,348.527435,-62.700005,29.21
HD 219415 b,2012,541.3211132,348.724278,56.730328,165.97
HD 220074 b,2012,1067.86736,350.059906,61.970127,327.41
HD 220689 b,2012,153.0976264,351.470795,-20.61603,46.94
HD 27631 b,2012,164.2521616,64.939461,-41.960266,50.36
HD 37605 c,2012,152.804086,85.00721,6.060579,46.85
HD 4732 b,2012,178.9617972,12.308117,-24.136671,54.87
HD 4732 c,2012,178.9617972,12.308117,-24.136671,54.87
HD 5608 b,2012,189.8554076,14.559246,33.950886,58.21
HD 66141 b,2012,222.3079296,120.566406,2.334571,68.16
HD 77338 b,2012,150.03176,135.302063,-25.527061,46
